ds,yhat
2020-01-01 00:00:00,30316.16906857373
2020-01-01 01:00:00,32961.13306179386
2020-01-01 02:00:00,35354.610439371994
2020-01-01 03:00:00,37426.83251280431
2020-01-01 04:00:00,38914.19154262509
2020-01-01 05:00:00,39772.18529110831
2020-01-01 06:00:00,40342.32402205793
2020-01-01 07:00:00,40004.479378813325
2020-01-01 08:00:00,38881.066337239565
2020-01-01 09:00:00,37053.564497151216
2020-01-01 10:00:00,35262.60413925657
2020-01-01 11:00:00,32758.518272353027
2020-01-01 12:00:00,30371.35930686527
2020-01-01 13:00:00,27627.784802299742
2020-01-01 14:00:00,25614.681099656602
2020-01-01 15:00:00,23053.564668133684
2020-01-01 16:00:00,21683.943007417387
2020-01-01 17:00:00,20584.020716278435
2020-01-01 18:00:00,20374.518358485788
2020-01-01 19:00:00,20678.77776452611
2020-01-01 20:00:00,21850.405524916423
2020-01-01 21:00:00,23112.023884701277
2020-01-01 22:00:00,25189.439213217473
2020-01-01 23:00:00,27721.460149963405
2020-01-02 00:00:00,30163.61882814695
2020-01-02 01:00:00,33030.43167921081
2020-01-02 02:00:00,35301.86541513021
2020-01-02 03:00:00,37374.86686566334
2020-01-02 04:00:00,39057.61582490313
2020-01-02 05:00:00,40169.866323753
2020-01-02 06:00:00,40296.98365606388
2020-01-02 07:00:00,39842.37095788506
2020-01-02 08:00:00,38896.12493300965
2020-01-02 09:00:00,37284.1575801178
2020-01-02 10:00:00,35160.9230136609
2020-01-02 11:00:00,32943.305150603206
2020-01-02 12:00:00,30408.127575322902
2020-01-02 13:00:00,27594.332067975425
2020-01-02 14:00:00,25523.45245618073
2020-01-02 15:00:00,23085.160703064994
2020-01-02 16:00:00,21637.30809027409
2020-01-02 17:00:00,20844.366559511596
2020-01-02 18:00:00,20388.391293730332
2020-01-02 19:00:00,20884.667259133108
2020-01-02 20:00:00,21924.592054390345
2020-01-02 21:00:00,23513.559548370627
2020-01-02 22:00:00,25323.57124189602
2020-01-02 23:00:00,27874.474468618668
2020-01-03 00:00:00,30474.084797477764
2020-01-03 01:00:00,33061.62899765835
2020-01-03 02:00:00,35470.7813794925
2020-01-03 03:00:00,37431.022068447295
2020-01-03 04:00:00,39124.31754834147
2020-01-03 05:00:00,40221.20534704151
2020-01-03 06:00:00,40488.58942007004
2020-01-03 07:00:00,40254.134540557745
2020-01-03 08:00:00,39081.5689000235
2020-01-03 09:00:00,37207.268245648964
2020-01-03 10:00:00,35614.824937265264
2020-01-03 11:00:00,33030.09868412452
2020-01-03 12:00:00,30804.943981610046
2020-01-03 13:00:00,27825.118734758737
2020-01-03 14:00:00,25552.88349389805
2020-01-03 15:00:00,23328.132632426386
2020-01-03 16:00:00,21817.19522603607
2020-01-03 17:00:00,20897.165768238192
2020-01-03 18:00:00,20378.050939066114
2020-01-03 19:00:00,20748.458742403487
2020-01-03 20:00:00,21739.795192553785
2020-01-03 21:00:00,23093.337352605427
2020-01-03 22:00:00,25494.54023439943
2020-01-03 23:00:00,27631.55214476123
2020-01-04 00:00:00,30312.477108482162
2020-01-04 01:00:00,33210.465716590144
